time;open;high;low;close;tick_volume;spread;real_volume
2022-01-03 10:00:00;11.59;11.81;11.59;11.76;12635;1;10571200
2022-01-03 11:00:00;11.77;11.77;11.67;11.72;13936;1;7262400
2022-01-03 12:00:00;11.72;11.79;11.71;11.73;9609;1;4712400
2022-01-03 13:00:00;11.73;11.79;11.7;11.78;7951;1;3789200
2022-01-03 14:00:00;11.77;11.83;11.75;11.82;8449;1;4103600
2022-01-03 15:00:00;11.82;11.87;11.81;11.82;9613;1;5188900
2022-01-03 16:00:00;11.82;11.86;11.81;11.83;9087;1;8644600
2022-01-03 17:00:00;11.83;11.85;11.78;11.81;11199;1;8432400
2022-01-04 10:00:00;11.84;11.89;11.74;11.79;8885;1;6005000
2022-01-04 11:00:00;11.8;11.85;11.74;11.83;11014;1;13333200
2022-01-04 12:00:00;11.83;11.94;11.79;11.88;12255;1;6947700
2022-01-04 13:00:00;11.89;11.91;11.82;11.91;9643;1;4200500
2022-01-04 14:00:00;11.9;11.94;11.88;11.92;8977;1;4990600
2022-01-04 15:00:00;11.92;11.92;11.83;11.88;9409;1;3789800
2022-01-04 16:00:00;11.88;11.92;11.87;11.89;8423;1;5599000
2022-01-04 17:00:00;11.89;11.91;11.85;11.86;10006;1;6873400
2022-01-05 10:00:00;11.85;11.89;11.78;11.79;7859;1;4927500
2022-01-05 11:00:00;11.8;11.8;11.66;11.75;16017;1;13002900
2022-01-05 12:00:00;11.75;11.78;11.68;11.71;8477;1;6036600
2022-01-05 13:00:00;11.71;11.71;11.61;11.66;8555;1;7255900
2022-01-05 14:00:00;11.66;11.66;11.51;11.53;12794;1;14877700
2022-01-05 15:00:00;11.53;11.58;11.5;11.51;10416;1;5881500
2022-01-05 16:00:00;11.5;11.53;11.44;11.44;12348;1;8622200
2022-01-05 17:00:00;11.44;11.45;11.35;11.4;15469;1;17855500
2022-01-06 10:00:00;11.49;11.57;11.44;11.55;8337;1;8891400
2022-01-06 11:00:00;11.55;11.63;11.55;11.55;17055;1;11569900
2022-01-06 12:00:00;11.55;11.59;11.45;11.5;13269;1;5631400
2022-01-06 13:00:00;11.5;11.51;11.44;11.49;10890;1;5646600
2022-01-06 14:00:00;11.49;11.49;11.42;11.43;10632;1;5732700
2022-01-06 15:00:00;11.43;11.44;11.31;11.37;13644;1;7593700
2022-01-06 16:00:00;11.37;11.37;11.31;11.32;10574;1;6910100
2022-01-06 17:00:00;11.32;11.39;11.31;11.39;10586;1;9187300
2022-01-07 10:00:00;11.42;11.49;11.39;11.46;9963;1;5196000
2022-01-07 11:00:00;11.46;11.47;11.36;11.42;11367;1;5521700
2022-01-07 12:00:00;11.43;11.43;11.31;11.35;8325;1;9664100
2022-01-07 13:00:00;11.34;11.41;11.3;11.37;7131;1;4931500
2022-01-07 14:00:00;11.37;11.41;11.35;11.4;6356;1;4572300
2022-01-07 15:00:00;11.4;11.47;11.38;11.43;7143;1;4779700
2022-01-07 16:00:00;11.43;11.44;11.4;11.43;7666;1;3170000
2022-01-07 17:00:00;11.43;11.44;11.4;11.44;10018;1;9672300
2022-01-10 10:00:00;11.37;11.44;11.35;11.38;5353;1;3592500
2022-01-10 11:00:00;11.38;11.47;11.37;11.37;9674;1;5632900
2022-01-10 12:00:00;11.37;11.38;11.3;11.34;8050;1;4489300
2022-01-10 13:00:00;11.34;11.36;11.31;11.32;5305;1;2894800
2022-01-10 14:00:00;11.32;11.32;11.26;11.29;7045;1;5553000
