time;open;high;low;close;tick_volume;spread;real_volume
02/01/2020 10:00; 10.11 ; 10.12 ; 10.05 ; 10.09 ; R$ 5.830,00 ;1;3067300
02/01/2020 11:00; 10.09 ; 10.17 ; 10.06 ; 10.16 ; R$ 10.328,00 ;1;7681400
02/01/2020 12:00; 10.17 ; 10.17 ; 10.11 ; 10.13 ; R$ 5.319,00 ;1;5573100
02/01/2020 13:00; 10.13 ; 10.14 ; 10.09 ; 10.11 ; R$ 5.952,00 ;1;2902800
02/01/2020 14:00; 10.11 ; 10.14 ; 10.1 ; 10.12 ; R$ 5.371,00 ;1;3723900
02/01/2020 15:00; 10.12 ; 10.15 ; 10.12 ; 10.14 ; R$ 7.035,00 ;1;3119200
02/01/2020 16:00; 10.14 ; 10.17 ; 10.13 ; 10.16 ; R$ 10.507,00 ;1;3594700
02/01/2020 17:00; 10.16 ; 10.18 ; 10.14 ; 10.18 ; R$ 14.063,00 ;1;8112100
03/01/2020 10:00; 10.24 ; 10.36 ; 10.19 ; 10.25 ; R$ 16.303,00 ;1;16665100
03/01/2020 11:00; 10.26 ; 10.28 ; 10.24 ; 10.25 ; R$ 8.563,00 ;1;9129800
03/01/2020 12:00; 10.25 ; 10.27 ; 10.19 ; 10.21 ; R$ 8.708,00 ;1;11333100
03/01/2020 13:00; 10.21 ; 10.22 ; 10.18 ; 10.19 ; R$ 5.324,00 ;1;4044000
03/01/2020 14:00; 10.19 ; 10.22 ; 10.19 ; 10.2 ; R$ 4.582,00 ;1;4317500
03/01/2020 15:00; 10.2 ; 10.21 ; 10.18 ; 10.18 ; R$ 4.868,00 ;1;3335700
03/01/2020 16:00; 10.18 ; 10.19 ; 10.13 ; 10.15 ; R$ 6.749,00 ;1;4510500
03/01/2020 17:00; 10.15 ; 10.21 ; 10.09 ; 10.09 ; R$ 7.872,00 ;1;18259900
06/01/2020 10:00;10.09;10.12;9.93;10.12;14452;1;12074500
06/01/2020 11:00;10.12;10.2;10.11;10.17;15349;1;13505400
06/01/2020 12:00;10.17;10.23;10.16;10.21;16505;1;12545000
06/01/2020 13:00;10.21;10.22;10.16;10.21;9951;1;9052900
06/01/2020 14:00;10.21;10.24;10.2;10.23;12287;1;8269800
06/01/2020 15:00;10.23;10.25;10.22;10.25;12438;1;6685300
06/01/2020 16:00;10.24;10.26;10.21;10.21;10659;1;7643000
06/01/2020 17:00;10.21;10.23;10.19;10.21;8790;1;12068100
07/01/2020 10:00;10.22;10.24;10.1;10.15;7539;1;7727400
07/01/2020 11:00;10.16;10.18;10.12;10.15;4338;1;2163800
07/01/2020 12:00;10.15;10.19;10.14;10.15;6215;1;3660700
07/01/2020 13:00;10.15;10.16;10.13;10.14;3653;1;2049300
07/01/2020 14:00;10.14;10.15;10.12;10.14;5389;1;3883100
07/01/2020 15:00;10.14;10.19;10.13;10.17;7354;1;3819900
07/01/2020 16:00;10.17;10.18;10.15;10.17;5963;1;3822400
07/01/2020 17:00;10.17;10.17;10.15;10.17;5390;1;5695400
08/01/2020 10:00;10.17;10.2;10.12;10.14;5189;1;5360100
08/01/2020 11:00;10.14;10.19;10.1;10.13;6181;1;5327400
08/01/2020 12:00;10.13;10.15;10.06;10.1;7559;1;9343500
08/01/2020 13:00;10.1;10.13;10.07;10.09;7271;1;5256100
08/01/2020 14:00;10.09;10.1;10.05;10.07;6344;1;5012200
08/01/2020 15:00;10.07;10.08;10.02;10.03;7351;1;4185800
08/01/2020 16:00;10.03;10.09;10.02;10.08;6664;1;3456800
08/01/2020 17:00;10.08;10.11;10.06;10.11;7788;1;10273700
09/01/2020 10:00;10.1;10.15;10.05;10.09;6748;1;5025200
09/01/2020 11:00;10.09;10.11;10.06;10.09;7734;1;4937400
09/01/2020 12:00;10.09;10.14;10.08;10.12;8261;1;6120100
09/01/2020 13:00;10.12;10.13;10.1;10.1;5643;1;3201100
09/01/2020 14:00;10.1;10.11;10.05;10.05;6931;1;3776300
09/01/2020 15:00;10.05;10.07;10.03;10.05;8346;1;3121700
09/01/2020 16:00;10.05;10.08;10.03;10.07;8990;1;3649200
09/01/2020 17:00;10.07;10.08;10.04;10.08;9079;1;6271700
10/01/2020 10:00;10.07;10.09;10.03;10.07;2955;1;2791100
10/01/2020 11:00;10.07;10.08;10.04;10.07;3039;1;2550200
10/01/2020 12:00;10.07;10.09;10.06;10.07;3158;1;1877100
10/01/2020 13:00;10.07;10.07;10.04;10.06;3032;1;1785900
10/01/2020 14:00;10.06;10.06;10.05;10.05;2235;1;1112500
10/01/2020 15:00;10.05;10.07;10.05;10.07;3014;1;1469300
10/01/2020 16:00;10.07;10.07;10.03;10.04;3612;1;6723900
10/01/2020 17:00;10.04;10.04;9.99;10.03;7161;1;7087500
13/01/2020 10:00;10.06;10.08;10.04;10.07;4473;1;4071600
13/01/2020 11:00;10.07;10.08;10.05;10.08;5286;1;3710600
13/01/2020 12:00;10.08;10.09;10.06;10.06;3897;1;2649800
13/01/2020 13:00;10.06;10.08;10.05;10.06;3907;1;2805400
13/01/2020 14:00;10.06;10.07;10.03;10.07;4904;1;3319500
13/01/2020 15:00;10.06;10.07;10.02;10.03;5492;1;3940700
13/01/2020 16:00;10.03;10.05;10.02;10.04;6305;1;2625600
13/01/2020 17:00;10.04;10.05;10.01;10.05;7807;1;7553600
14/01/2020 10:00;10.02;10.03;10.0;10.0;3620;1;3769500
14/01/2020 11:00;10.0;10.02;9.95;9.95;7860;1;6321200
