Data,Operacao,Status,Previsao,Valor Atual,Preco,Quantidade,Custo,Capital
2024-07-26,Venda,Entrada,66737.87,67411.99,67378.28,1.3357,0.00,189910.00
2024-08-04,Compra,Saida,60067.39,59472.66,59502.40,1.3357,0.00,110350.67
2024-08-04,Compra,Entrada,59850.24,59257.66,59287.29,1.6752,0.00,110251.36
2024-08-04,Venda,Saida,58566.42,59158.00,59128.42,-1.6752,0.00,209201.79
2024-08-04,Venda,Entrada,58000.15,58586.01,58556.72,3.2154,0.00,397295.11
2024-08-05,Compra,Saida,54665.24,54124.00,54151.06,3.2154,0.00,223005.21
2024-08-05,Compra,Entrada,55244.96,54697.98,54725.33,3.6675,0.00,222804.50
2024-08-05,Venda,Saida,53741.86,54284.71,54257.57,-3.6675,0.00,421594.69
2024-08-05,Venda,Entrada,53777.88,54321.09,54293.93,6.9885,0.00,800650.47
2024-08-07,Compra,Saida,57535.65,56965.99,56994.47,6.9885,0.00,401944.09
2024-08-07,Compra,Entrada,57763.93,57192.01,57220.61,6.3220,0.00,401582.34
2024-08-07,Venda,Saida,56293.38,56862.00,56833.57,-6.3220,0.00,760525.87
2024-08-07,Venda,Entrada,56475.53,57045.99,57017.47,12.0046,0.00,1444314.68
2024-08-07,Compra,Saida,56686.72,56125.47,56153.53,12.0046,0.00,769538.50
2024-08-07,Compra,Entrada,56284.16,55726.89,55754.75,12.4220,0.00,768845.91
2024-08-08,Venda,Saida,54345.04,54893.98,54866.53,-12.4220,0.00,1449715.55
2024-08-08,Venda,Entrada,54747.00,55300.00,55272.35,23.6057,0.00,2753154.81
2024-08-15,Compra,Saida,57639.13,57068.45,57096.98,23.6057,0.00,1403991.18
2024-08-15,Compra,Entrada,58198.43,57622.21,57651.02,21.9179,0.00,1402727.58
2024-08-16,Venda,Saida,56603.04,57174.79,57146.20,-21.9179,0.00,2654002.53
2024-08-16,Venda,Entrada,56965.55,57540.96,57512.19,41.5321,0.00,5040216.20
2024-09-06,Compra,Saida,54614.74,54074.00,54101.04,41.5321,0.00,2791039.34
2024-09-06,Compra,Entrada,54812.70,54270.00,54297.13,46.2628,0.00,2788527.41
2024-09-07,Venda,Saida,53400.61,53940.01,53913.04,-46.2628,0.00,5280199.35
2024-09-07,Venda,Entrada,53374.86,53914.00,53887.04,88.1878,0.00,10027626.59
2024-09-07,Compra,Saida,54493.54,53954.00,53980.98,88.1878,0.00,5262402.88
2024-09-07,Compra,Entrada,54592.52,54052.00,54079.03,87.5785,0.00,5257666.71
2024-09-08,Venda,Saida,53932.24,54477.01,54449.77,-87.5785,0.00,10021530.02
2024-09-08,Venda,Entrada,53794.06,54337.43,54310.26,166.0713,0.00,19031887.66
2024-09-08,Compra,Saida,55000.58,54456.02,54483.25,166.0713,0.00,9974734.40
2024-09-08,Venda,Entrada,54070.44,54616.61,54589.30,164.4509,0.00,18943018.11
2024-09-08,Compra,Saida,55154.09,54608.01,54635.31,164.4509,0.00,9949205.55
2024-09-08,Venda,Entrada,54025.30,54571.01,54543.72,164.1671,0.00,18894536.26
2024-09-08,Compra,Saida,54446.25,53907.18,53934.13,164.1671,0.00,10031471.82
2024-09-08,Compra,Entrada,54768.27,54226.01,54253.12,166.4112,0.00,10022443.50
2024-09-08,Venda,Saida,53793.64,54337.01,54309.84,-166.4112,0.00,19051168.97
2024-09-08,Venda,Entrada,53745.82,54288.71,54261.57,315.9889,0.00,36180074.98
2024-09-09,Compra,Saida,55796.44,55244.00,55271.62,315.9889,0.00,18697391.11
2024-09-09,Compra,Entrada,55855.03,55302.01,55329.66,304.1344,0.00,18680563.45
2024-09-09,Venda,Saida,54768.77,55321.99,55294.33,-304.1344,0.00,35480652.87
2024-09-09,Venda,Entrada,54712.22,55264.87,55237.24,578.0989,0.00,67381307.86
2024-09-09,Compra,Saida,56994.41,56430.11,56458.33,578.0989,0.00,34710172.42
2024-09-09,Compra,Entrada,57128.37,56562.74,56591.02,552.0161,0.00,34678933.26
2024-09-09,Venda,Saida,55948.86,56514.00,56485.74,-552.0161,0.00,65828792.04
2024-09-09,Venda,Entrada,55925.10,56490.00,56461.76,1049.3105,0.00,125015458.97
2025-10-13,Compra,Saida,115166.00,115166.00,115223.58,1049.3105,0.00,3989237.21
