Data;Operacao;Status;Previsao;Valor Atual;Preco;Quantidade;Custo;Capital
2023-10-15;Compra;Entrada;26166.02;26833.94;26852.48;3;0.00;99944.38
2023-10-16;Venda;Saida;26477.33;27158.19;27154.14;-3;0.00;100904.98
2023-10-17;Compra;Entrada;27709.43;28344.02;28500.77;3;0.00;100434.73
2023-10-18;Venda;Saida;27738.66;28418.59;28395.91;-3;0.00;100590.40
2023-10-19;Compra;Entrada;27624.18;28340.00;28320.00;3;0.00;100650.40
2023-10-20;Venda;Saida;27926.38;28686.90;28713.71;-3;0.00;101771.53
2023-10-21;Compra;Entrada;28955.81;29687.27;29669.05;3;0.00;101826.19
2023-10-22;Venda;Saida;29216.96;29963.60;29909.80;-3;0.00;102493.78
2023-10-23;Compra;Entrada;29176.30;29912.07;29992.46;3;0.00;102252.61
2023-10-24;Venda;Saida;31933.15;33341.45;33069.99;-3;0.00;111726.37
2023-10-25;Compra;Entrada;33251.51;33812.50;33922.73;3;0.00;111395.68
2023-10-26;Venda;Saida;33729.98;34565.89;34496.05;-3;0.00;113446.33
2023-10-27;Compra;Entrada;33427.45;34111.09;34151.66;3;0.00;113324.62
2023-10-28;Venda;Saida;33071.55;33912.00;33892.01;-3;0.00;112667.38
2023-10-29;Compra;Entrada;33329.04;34084.16;34081.01;3;0.00;112676.83
2023-10-30;Venda;Saida;33788.29;34532.11;34525.88;-3;0.00;114001.99
2023-10-31;Compra;Entrada;33687.48;34506.27;34474.74;3;0.00;114096.58
2023-11-01;Venda;Saida;33772.21;34545.82;34639.78;-3;0.00;114497.11
2023-11-02;Compra;Entrada;34594.87;35505.68;35421.43;3;0.00;114749.86
2023-11-03;Venda;Saida;34080.93;34771.43;34941.58;-3;0.00;113057.56
2023-11-04;Compra;Entrada;33837.63;34681.00;34716.78;3;0.00;112950.22
2023-11-05;Venda;Saida;34231.81;34976.70;35062.06;-3;0.00;114093.40
2023-11-06;Compra;Entrada;34130.36;35023.19;35011.89;3;0.00;114127.30
2023-11-07;Venda;Saida;34255.41;34955.07;35046.09;-3;0.00;114196.00
2023-11-08;Compra;Entrada;34581.25;35317.58;35399.13;3;0.00;113951.35
2023-11-09;Venda;Saida;34956.40;35692.19;35624.72;-3;0.00;114872.77
2023-11-10;Compra;Entrada;35787.34;36585.15;36701.10;3;0.00;114524.92
2023-11-11;Venda;Saida;36514.59;37398.34;37301.63;-3;0.00;116674.36
2023-11-12;Compra;Entrada;36080.59;37005.58;37129.99;2;0.00;116425.54
2023-11-13;Venda;Saida;36308.11;37021.12;37064.13;-2;0.00;116542.64
2023-11-14;Compra;Entrada;35708.32;36348.45;36462.93;2;0.00;116313.68
2023-11-15;Venda;Saida;34794.17;35558.87;35551.20;-2;0.00;114719.18
2023-11-16;Compra;Entrada;36885.25;37768.62;37858.20;3;0.00;114450.44
2023-11-17;Venda;Saida;35374.47;36188.75;36163.51;-3;0.00;109635.11
2023-11-18;Compra;Entrada;35711.74;36457.59;36613.91;2;0.00;109322.47
2023-11-19;Venda;Saida;35699.82;36546.01;36568.11;-2;0.00;109543.51
2023-11-20;Compra;Entrada;36303.86;37199.99;37359.85;2;0.00;109223.79
2023-11-21;Venda;Saida;36638.68;37513.91;37448.79;-2;0.00;109721.39
2023-11-22;Compra;Entrada;35664.56;36123.99;35741.65;2;0.00;110486.07
2023-11-23;Venda;Saida;36706.00;37390.30;37408.35;-2;0.00;113054.79
2023-11-24;Compra;Entrada;36488.38;37321.54;37294.27;2;0.00;113109.33
2023-11-25;Venda;Saida;36894.67;37756.00;37713.57;-2;0.00;113893.39
2023-11-26;Compra;Entrada;36945.36;37758.16;37780.67;2;0.00;113848.37
2023-11-27;Venda;Saida;36811.10;37518.00;37447.42;-2;0.00;113226.89
2023-11-28;Compra;Entrada;36313.95;37275.56;37242.70;2;0.00;113292.61
2023-11-29;Venda;Saida;37070.09;37763.05;37818.88;-2;0.00;114379.25
2023-11-30;Compra;Entrada;36989.52;37770.24;37854.65;2;0.00;114210.43
2023-12-01;Venda;Saida;36916.66;37627.91;37723.97;-2;0.00;114117.89
2023-12-02;Compra;Entrada;37937.55;38641.62;38682.51;2;0.00;114036.11
2023-12-03;Venda;Saida;38640.51;39462.99;39450.35;-2;0.00;115653.57
2023-12-04;Compra;Entrada;39099.59;40069.63;39972.26;2;0.00;115848.31
2023-12-05;Venda;Saida;41192.45;41834.53;41991.10;-2;0.00;119691.25
2023-12-06;Compra;Entrada;43308.29;43942.79;44073.82;2;0.00;119429.19
2023-12-07;Venda;Saida;42947.23;43843.21;43762.69;-2;0.00;119068.99
2023-12-08;Compra;Entrada;42477.13;43376.06;43273.15;2;0.00;119274.81
2023-12-09;Venda;Saida;43548.00;44260.00;44171.00;-2;0.00;120864.69
2023-12-10;Compra;Entrada;43093.77;43753.57;43713.59;2;0.00;120944.65
2023-12-11;Venda;Saida;42977.54;43729.52;43789.50;-2;0.00;121016.51
2023-12-12;Compra;Entrada;40467.40;41650.55;41253.41;2;0.00;121810.79
2023-12-13;Venda;Saida;40495.16;41358.00;41492.38;-2;0.00;121494.45
2023-12-14;Compra;Entrada;42215.29;42778.95;42869.03;2;0.00;121314.29
2023-12-15;Venda;Saida;42249.46;43080.78;43022.26;-2;0.00;121800.91
2023-12-16;Compra;Entrada;41300.14;41875.91;41940.29;2;0.00;121672.15
2023-12-17;Venda;Saida;41435.05;42236.10;42278.02;-2;0.00;122476.37
2023-12-18;Compra;Entrada;40906.06;41396.00;41374.64;2;0.00;122519.09
2023-12-19;Venda;Saida;41774.07;42611.09;42657.80;-2;0.00;125042.69
2023-12-20;Compra;Entrada;41561.54;42331.99;42275.99;2;0.00;125154.69
2023-12-21;Venda;Saida;42694.15;43645.82;43668.92;-2;0.00;127828.55
2023-12-22;Compra;Entrada;43131.02;43930.99;43861.79;2;0.00;127966.95
2023-12-23;Venda;Saida;43011.35;43913.76;43969.04;-2;0.00;128043.05
2023-12-24;Compra;Entrada;42947.85;43708.99;43702.15;2;0.00;128056.73
2023-12-25;Venda;Saida;42272.64;42917.79;42991.50;-2;0.00;126621.75
2023-12-26;Compra;Entrada;42770.53;43487.10;43576.12;2;0.00;126443.71
2023-12-27;Venda;Saida;41640.50;42464.59;42508.93;-2;0.00;124487.37
2023-12-28;Compra;Entrada;42597.81;43586.20;43428.86;2;0.00;124802.05
2023-12-29;Venda;Saida;41787.91;42630.94;42563.76;-2;0.00;122757.17
2023-12-30;Compra;Entrada;41027.16;42157.04;42066.94;2;0.00;122937.37
2023-12-31;Venda;Saida;41378.39;42255.78;42140.29;-2;0.00;122903.87
2024-01-01;Compra;Entrada;41544.12;42419.73;42283.58;2;0.00;123176.17
2024-01-02;Venda;Saida;42868.57;44609.79;44179.55;-2;0.00;126695.81
2024-01-03;Compra;Entrada;44203.50;44898.01;44946.91;2;0.00;126598.01
2024-01-04;Venda;Saida;42095.23;42890.36;42845.23;-2;0.00;122492.45
2024-01-05;Compra;Entrada;43513.66;44219.02;44151.10;2;0.00;122628.29
2024-01-06;Venda;Saida;43197.83;44041.12;44145.12;-2;0.00;122480.49
2024-01-07;Compra;Entrada;43031.93;43968.59;43968.32;2;0.00;122481.03
2024-01-08;Venda;Saida;43122.36;43822.00;43929.01;-2;0.00;122401.87
