Data;Operacao;Status;Previsao;Valor Atual;Preco;Quantidade;Custo;Capital
2024-07-25;Compra;Entrada;64579.54;64263.01;64148.01;1.4783;0.00;100000.00
2024-07-26;Venda;Saida;65675.31;66314.00;66430.01;-1.4783;0.00;103373.48
2024-07-27;Compra;Entrada;68099.36;67791.21;68900.00;1.4486;0.00;103373.48
2024-07-27;Venda;Saida;67958.48;68900.00;68860.00;-1.4486;0.00;103315.53
2024-07-28;Compra;Entrada;68205.23;67956.01;67958.00;1.4443;0.00;103315.53
2024-07-29;Venda;Saida;67877.54;68844.00;68714.01;-1.4443;0.00;104407.45
2024-07-29;Compra;Entrada;69056.28;68228.01;67946.01;1.4538;0.00;104407.45
2024-07-29;Venda;Saida;67754.48;67015.09;67378.00;-1.4538;0.00;103581.70
2024-07-29;Compra;Entrada;67594.69;67378.00;67419.99;1.4605;0.00;103581.70
2024-07-30;Venda;Saida;67090.06;66610.01;66720.00;-1.4605;0.00;102559.40
2024-07-30;Compra;Entrada;66958.73;66719.99;66211.33;1.4603;0.00;102559.40
2024-07-31;Venda;Saida;66037.19;66460.00;66364.02;-1.4603;0.00;102782.37
2024-07-31;Compra;Entrada;66285.41;65256.83;64882.01;1.4963;0.00;102782.37
2024-08-01;Venda;Saida;64371.80;63740.41;64214.00;-1.4963;0.00;101782.83
2024-08-01;Compra;Entrada;64311.06;64214.00;64303.99;1.5058;0.00;101782.83
2024-08-01;Venda;Saida;64220.45;62907.44;62905.51;-1.5058;0.00;99677.00
2024-08-01;Compra;Entrada;63935.34;62905.51;62908.00;1.5053;0.00;99677.00
2024-08-01;Venda;Saida;64034.04;64889.04;65538.00;-1.5053;0.00;103636.00
2024-08-02;Compra;Entrada;64599.23;64359.92;64447.99;1.5297;0.00;103636.00
2024-08-02;Venda;Saida;64615.98;62856.00;63416.01;-1.5297;0.00;102057.33
2024-08-02;Compra;Entrada;64296.69;63416.00;63092.01;1.5289;0.00;102057.33
2024-08-02;Venda;Saida;62890.64;61987.02;61993.87;-1.5289;0.00;100378.42
2024-08-02;Compra;Entrada;62714.62;61993.87;61386.01;1.5382;0.00;100378.42
2024-08-03;Venda;Saida;60956.95;59953.04;60246.00;-1.5382;0.00;98624.85
2024-08-03;Compra;Entrada;60831.87;60246.01;60582.78;1.5552;0.00;98624.85
2024-08-04;Venda;Saida;60565.24;59320.00;59086.01;-1.5552;0.00;96297.10
2024-08-04;Compra;Entrada;60269.39;59086.01;58962.80;1.5483;0.00;96297.10
2024-08-04;Venda;Saida;59045.07;58371.84;58770.60;-1.5483;0.00;95999.52
2024-08-04;Compra;Entrada;58916.38;58770.60;59472.66;1.5518;0.00;95999.52
2024-08-04;Venda;Saida;59016.71;58846.00;58715.83;-1.5518;0.00;94825.08
2024-08-05;Compra;Entrada;58638.02;57409.99;56174.02;1.5691;0.00;94825.08
2024-08-05;Venda;Saida;56900.40;54432.65;54124.00;-1.5691;0.00;91608.33
2024-08-05;Compra;Entrada;56137.82;54124.00;54697.98;1.6079;0.00;91608.33
2024-08-05;Venda;Saida;54638.75;53437.05;52718.00;-1.6079;0.00;88424.65
2024-08-05;Compra;Entrada;54265.69;52717.99;50012.02;1.5934;0.00;88424.65
2024-08-05;Venda;Saida;53632.92;50012.02;51588.00;-1.5934;0.00;90935.89
2024-08-05;Compra;Entrada;52861.23;51588.00;52757.99;1.6746;0.00;90935.89
2024-08-05;Venda;Saida;52364.91;52758.00;52674.19;-1.6746;0.00;90795.56
2024-08-05;Compra;Entrada;52034.34;51384.00;50880.01;1.6786;0.00;90795.56
2024-08-05;Venda;Saida;50540.98;49732.56;51951.00;-1.6786;0.00;92593.31
2024-08-05;Compra;Entrada;50479.02;51951.01;52633.64;1.6932;0.00;92593.31
2024-08-05;Venda;Saida;52920.19;54321.08;55461.76;-1.6932;0.00;97381.89
2024-08-05;Compra;Entrada;53476.13;53290.00;53470.09;1.736;0.00;97381.89
2024-08-06;Venda;Saida;54711.38;56037.99;55948.01;-1.736;0.00;101683.57
2024-08-06;Compra;Entrada;55780.34;54992.01;54931.99;1.7566;0.00;101683.57
2024-08-06;Venda;Saida;56266.04;56873.99;56494.00;-1.7566;0.00;104427.41
2024-08-06;Compra;Entrada;56465.26;56200.26;55924.01;1.7652;0.00;104427.41
2024-08-07;Venda;Saida;55861.09;54805.01;54962.88;-1.7652;0.00;102730.80
2024-08-07;Compra;Entrada;55612.15;54962.89;54759.22;1.7756;0.00;102730.80
2024-08-08;Venda;Saida;55719.68;57620.75;57364.00;-1.7756;0.00;107355.95
2024-08-08;Compra;Entrada;57468.55;57924.63;57809.81;1.7607;0.00;107355.95
2024-08-08;Venda;Saida;58918.20;59568.57;59776.75;-1.7607;0.00;110819.15
2024-08-09;Compra;Entrada;61345.55;60720.01;60858.00;1.7338;0.00;110819.15
2024-08-09;Venda;Saida;60441.01;60050.71;60432.65;-1.7338;0.00;110081.67
2024-08-09;Compra;Entrada;60381.53;60432.65;60422.73;1.7305;0.00;110081.67
2024-08-11;Venda;Saida;59826.89;58504.91;58600.00;-1.7305;0.00;106927.47
2024-08-11;Compra;Entrada;59525.23;58599.99;59009.80;1.7335;0.00;106927.47
2024-08-13;Venda;Saida;59443.92;59798.18;59554.00;-1.7335;0.00;107870.82
2024-08-13;Compra;Entrada;59479.95;59040.00;59118.17;1.7357;0.00;107870.82
2024-08-13;Venda;Saida;59884.84;61274.26;61167.58;-1.7357;0.00;111428.03
2024-08-14;Compra;Entrada;61154.88;59611.93;59492.69;1.7758;0.00;111428.03
2024-08-15;Venda;Saida;58839.04;58300.74;58412.25;-1.7758;0.00;109509.43
2024-08-15;Compra;Entrada;58714.60;58412.75;58441.64;1.781;0.00;109509.43
2024-08-15;Venda;Saida;58242.46;57046.34;56890.41;-1.781;0.00;106746.64
2024-08-15;Compra;Entrada;57935.25;56890.42;56671.06;1.7825;0.00;106746.64
2024-08-16;Venda;Saida;58207.48;58396.95;58456.99;-1.7825;0.00;109930.13
2024-08-16;Compra;Entrada;58372.66;57868.80;58547.60;1.8047;0.00;109930.13
2024-08-18;Venda;Saida;59661.39;59623.61;59337.42;-1.8047;0.00;111355.50
2024-08-18;Compra;Entrada;59669.39;59364.00;59456.00;1.782;0.00;111355.50
2024-08-19;Venda;Saida;59288.08;58432.63;58346.03;-1.782;0.00;109377.52
2024-08-19;Compra;Entrada;59092.64;58346.03;58448.45;1.7809;0.00;109377.52
2024-08-20;Venda;Saida;59535.07;60482.77;60560.00;-1.7809;0.00;113137.98
2024-08-20;Compra;Entrada;60832.95;60718.62;60693.71;1.7701;0.00;113137.98
2024-08-20;Venda;Saida;60439.92;59055.48;58825.53;-1.7701;0.00;109831.02
2024-08-20;Compra;Entrada;60129.98;58825.53;58968.00;1.7737;0.00;109831.02
2024-08-21;Venda;Saida;60002.18;60771.28;61029.95;-1.7737;0.00;113488.33
2024-08-22;Compra;Entrada;61091.62;60922.10;60970.00;1.7697;0.00;113488.33
2024-08-23;Venda;Saida;61282.00;60994.91;61413.04;-1.7697;0.00;114272.37
2024-08-24;Compra;Entrada;64204.46;64179.85;64086.99;1.6915;0.00;114272.37
2024-08-26;Venda;Saida;64447.96;64219.99;64290.01;-1.6915;0.00;114615.78
2024-08-26;Compra;Entrada;64234.16;63981.82;64070.00;1.7018;0.00;114615.78
2024-08-26;Venda;Saida;63492.50;63155.82;63081.26;-1.7018;0.00;112933.13
2024-08-26;Compra;Entrada;63431.04;63081.26;62973.01;1.7008;0.00;112933.13
2024-08-27;Venda;Saida;62378.77;61769.00;61709.13;-1.7008;0.00;110783.56
2024-08-27;Compra;Entrada;62265.87;61709.13;61960.99;1.7055;0.00;110783.56
2024-08-27;Venda;Saida;61572.77;58935.81;59506.94;-1.7055;0.00;106598.20
2024-08-27;Compra;Entrada;61067.89;59506.94;59708.87;1.7018;0.00;106598.20
2024-08-28;Venda;Saida;59188.09;59106.00;59223.99;-1.7018;0.00;105773.04
2024-08-28;Compra;Entrada;59753.06;59587.01;59195.26;1.6863;0.00;105773.04
2024-08-29;Venda;Saida;60264.69;60644.00;60814.99;-1.6863;0.00;108504.47
2024-08-29;Compra;Entrada;60617.41;60366.00;60533.00;1.7076;0.00;108504.47
2024-08-29;Venda;Saida;60116.88;59476.01;59258.00;-1.7076;0.00;106327.31
2024-08-29;Compra;Entrada;59933.45;59257.99;59355.00;1.7046;0.00;106327.31
2024-08-30;Venda;Saida;59292.60;58094.00;58094.99;-1.7046;0.00;104179.51
2024-08-30;Compra;Entrada;59038.66;58095.00;58092.00;1.7036;0.00;104179.51
2024-09-01;Venda;Saida;58216.16;58541.11;58378.32;-1.7036;0.00;104667.28
2024-09-01;Compra;Entrada;58161.56;57309.00;57374.01;1.735;0.00;104667.28
2024-09-02;Venda;Saida;58840.33;59047.00;59220.00;-1.735;0.00;107870.16
2024-09-03;Compra;Entrada;59191.18;58955.00;59112.00;1.7382;0.00;107870.16
2024-09-03;Venda;Saida;58781.29;57672.84;57784.00;-1.7382;0.00;105561.81
2024-09-03;Compra;Entrada;58520.89;57784.01;57725.00;1.7355;0.00;105561.81
2024-09-04;Venda;Saida;57381.82;56784.01;56610.01;-1.7355;0.00;103626.75
2024-09-04;Compra;Entrada;57176.50;56610.01;56648.01;1.739;0.00;103626.75
2024-09-04;Venda;Saida;57800.89;57963.00;57878.00;-1.739;0.00;105765.72
2024-09-05;Compra;Entrada;58103.93;57693.00;57085.71;1.7416;0.00;105765.72
2024-09-05;Venda;Saida;56651.54;55976.01;56198.00;-1.7416;0.00;104219.69
2024-09-05;Compra;Entrada;56469.27;56198.01;56335.00;1.7618;0.00;104219.69
2024-09-06;Venda;Saida;55948.54;54734.00;54205.59;-1.7618;0.00;100468.13
2024-09-06;Compra;Entrada;55544.61;54205.59;54045.01;1.7608;0.00;100468.13
2024-09-06;Venda;Saida;53518.70;53433.03;53766.57;-1.7608;0.00;99977.86
2024-09-07;Compra;Entrada;54463.15;54262.22;54291.10;1.7504;0.00;99977.86
2024-09-08;Venda;Saida;54205.98;54290.01;54412.01;-1.7504;0.00;100189.50
2024-09-09;Compra;Entrada;54898.76;54804.01;54898.00;1.7367;0.00;100189.50
2024-09-09;Venda;Saida;56054.93;56514.00;56490.00;-1.7367;0.00;102954.38
2024-09-10;Compra;Entrada;57071.27;56982.01;56874.01;1.7164;0.00;102954.38
2024-09-11;Venda;Saida;56526.43;55904.81;55974.00;-1.7164;0.00;101409.56
2024-09-11;Compra;Entrada;56327.77;55974.00;56318.01;1.7211;0.00;101409.56
2024-09-12;Venda;Saida;57804.21;57967.67;57946.28;-1.7211;0.00;104212.04
2024-09-12;Compra;Entrada;58083.02;57760.00;57627.99;1.714;0.00;104212.04
2024-09-13;Venda;Saida;58187.19;59034.36;59667.38;-1.714;0.00;107707.58
2024-09-14;Compra;Entrada;60388.57;59926.00;59979.99;1.7075;0.00;107707.58
2024-09-16;Venda;Saida;59373.85;58666.36;58721.09;-1.7075;0.00;105558.04
2024-09-16;Compra;Entrada;59242.12;58721.09;58607.07;1.7077;0.00;105558.04
2024-09-16;Venda;Saida;58300.64;57924.83;57881.69;-1.7077;0.00;104319.28
2024-09-16;Compra;Entrada;58177.16;57881.70;57910.00;1.7122;0.00;104319.28
2024-09-17;Venda;Saida;59392.99;60265.99;61154.01;-1.7122;0.00;109873.58
