Data;Operacao;Status;Previsao;Valor Atual;Preco;Quantidade;Custo;Capital
2024-07-25;Compra;Entrada;64585.80;64263.01;64189.99;1.48;0.00;100108.07
2024-07-25;Venda;Saida;64821.93;65838.00;65566.25;-1.48;0.00;102036.84
2024-07-27;Compra;Entrada;68251.76;67791.22;67334.00;1.4396;0.00;102695.06
2024-07-27;Venda;Saida;67953.76;68860.00;68900.00;-1.4396;0.00;104291.28
2024-07-28;Compra;Entrada;68292.95;67956.01;67896.49;1.4592;0.00;104378.13
2024-07-29;Venda;Saida;67834.41;68844.00;68249.88;-1.4592;0.00;104806.95
2024-07-29;Compra;Entrada;69160.80;68228.01;68815.64;1.4469;0.00;103956.74
2024-07-29;Venda;Saida;68410.01;66940.01;67345.93;-1.4469;0.00;102680.49
2024-07-29;Compra;Entrada;68202.14;66727.34;66940.01;1.4572;0.00;102370.58
2024-07-30;Venda;Saida;66488.57;66232.00;65810.01;-1.4572;0.00;101033.83
2024-07-30;Compra;Entrada;66265.83;65868.01;65876.00;1.457;0.00;101022.19
2024-07-31;Venda;Saida;66357.23;66198.01;66686.01;-1.457;0.00;102214.02
2024-07-31;Compra;Entrada;66367.72;65256.83;65760.01;1.4766;0.00;101471.01
2024-07-31;Venda;Saida;65852.32;64613.99;64595.81;-1.4766;0.00;100494.93
2024-07-31;Compra;Entrada;65596.99;64978.00;64613.99;1.4775;0.00;101032.77
2024-08-01;Venda;Saida;64466.14;62906.60;62984.00;-1.4775;0.00;98086.54
2024-08-01;Compra;Entrada;64215.43;62905.51;62907.44;1.4813;0.00;98083.68
2024-08-01;Venda;Saida;63585.15;64806.00;64760.01;-1.4813;0.00;100830.71
2024-08-02;Compra;Entrada;64714.69;64359.91;63970.02;1.4974;0.00;101414.54
2024-08-02;Venda;Saida;64610.99;63416.01;62856.00;-1.4974;0.00;99162.57
2024-08-02;Compra;Entrada;64291.68;63092.01;63416.00;1.4855;0.00;98681.29
2024-08-02;Venda;Saida;63063.07;61987.01;61660.87;-1.4855;0.00;96555.33
2024-08-02;Compra;Entrada;62885.52;61993.87;61987.02;1.4798;0.00;96565.46
2024-08-03;Venda;Saida;61918.77;61027.78;60879.01;-1.4798;0.00;94915.71
2024-08-03;Compra;Entrada;61755.16;60912.01;61027.78;1.4775;0.00;94744.66
2024-08-03;Venda;Saida;60951.67;60246.00;59953.04;-1.4775;0.00;93327.76
2024-08-03;Compra;Entrada;60826.58;60582.78;60246.01;1.4717;0.00;93823.37
2024-08-04;Venda;Saida;60559.93;59086.01;59320.00;-1.4717;0.00;91964.99
2024-08-04;Compra;Entrada;60264.06;58962.80;59086.01;1.4786;0.00;91782.81
2024-08-04;Venda;Saida;59527.84;57864.43;58195.80;-1.4786;0.00;90648.69
2024-08-04;Compra;Entrada;59278.68;58371.84;57864.43;1.4882;0.00;91403.84
2024-08-04;Venda;Saida;58938.10;59257.66;59472.65;-1.4882;0.00;93042.11
2024-08-04;Compra;Entrada;59315.84;58459.98;58586.00;1.5087;0.00;92851.98
2024-08-05;Venda;Saida;58632.55;56174.02;57409.99;-1.5087;0.00;91267.84
2024-08-05;Compra;Entrada;58328.31;54251.88;56174.01;1.5435;0.00;88301.04
2024-08-05;Venda;Saida;57709.25;54432.65;54254.81;-1.5435;0.00;88305.56
2024-08-05;Compra;Entrada;56894.80;54124.00;54432.65;1.5412;0.00;87829.88
2024-08-05;Venda;Saida;54917.26;53437.04;53526.01;-1.5412;0.00;86908.27
2024-08-05;Compra;Entrada;54632.96;52718.00;53437.05;1.545;0.00;85797.30
2024-08-05;Venda;Saida;53627.05;51588.00;50012.02;-1.545;0.00;81616.43
2024-08-05;Compra;Entrada;52855.29;52757.99;51588.00;1.503;0.00;83374.90
2024-08-05;Venda;Saida;52358.94;52674.19;52758.00;-1.503;0.00;83374.91
2024-08-05;Compra;Entrada;52457.15;51386.00;51174.01;1.5478;0.00;83703.03
2024-08-05;Venda;Saida;51024.50;49804.00;50161.61;-1.5478;0.00;81807.94
2024-08-05;Compra;Entrada;50789.32;49732.57;49804.01;1.5605;0.00;81696.46
2024-08-05;Venda;Saida;50472.88;52633.64;51951.01;-1.5605;0.00;85158.26
2024-08-05;Compra;Entrada;53645.32;53290.64;53096.85;1.5236;0.00;85453.53
2024-08-05;Venda;Saida;53516.15;54606.00;54393.85;-1.5236;0.00;87134.42
2024-08-06;Compra;Entrada;54532.79;55625.55;54018.82;1.5324;0.00;89596.55
2024-08-06;Venda;Saida;54523.94;56038.00;55625.55;-1.5324;0.00;89596.55
2024-08-06;Compra;Entrada;55866.23;54992.00;55422.01;1.5358;0.00;88936.15
2024-08-06;Venda;Saida;56122.55;56873.99;56775.51;-1.5358;0.00;91675.25
2024-08-06;Compra;Entrada;56504.42;56200.26;56056.00;1.5537;0.00;91899.38
2024-08-07;Venda;Saida;56467.77;56762.01;57192.00;-1.5537;0.00;93440.20
2024-08-07;Compra;Entrada;57314.30;57122.00;56963.39;1.5583;0.00;93687.36
2024-08-07;Venda;Saida;56975.21;56077.38;56085.83;-1.5583;0.00;92072.66
2024-08-07;Compra;Entrada;56759.86;56094.50;56077.38;1.5598;0.00;92099.36
2024-08-07;Venda;Saida;56091.58;54805.01;55012.90;-1.5598;0.00;90412.29
2024-08-07;Compra;Entrada;55855.40;54962.88;54805.01;1.5672;0.00;90659.71
2024-08-08;Venda;Saida;55318.57;57620.74;56868.00;-1.5672;0.00;93645.46
2024-08-08;Compra;Entrada;57616.16;58178.64;57266.73;1.5535;0.00;95062.10
2024-08-08;Venda;Saida;57785.38;58852.35;58922.25;-1.5535;0.00;96217.29
2024-08-09;Compra;Entrada;61340.30;60858.00;60720.01;1.5054;0.00;96425.02
2024-08-11;Venda;Saida;60350.10;59621.11;59660.55;-1.5054;0.00;94622.40
2024-08-11;Compra;Entrada;60267.62;58620.41;59621.11;1.5077;0.00;93113.64
2024-08-11;Venda;Saida;60095.82;58504.92;58620.41;-1.5077;0.00;93113.64
2024-08-11;Compra;Entrada;59821.52;58600.00;58504.91;1.512;0.00;93257.41
2024-08-12;Venda;Saida;58833.75;59771.36;59851.71;-1.512;0.00;95149.97
2024-08-12;Compra;Entrada;59394.53;59588.94;58157.55;1.5543;0.00;97374.73
2024-08-12;Venda;Saida;59237.37;60299.98;59588.95;-1.5543;0.00;97374.75
2024-08-12;Compra;Entrada;59730.59;59196.01;59296.12;1.5601;0.00;97218.57
