Data;Operacao;Status;Previsao;Valor Atual;Preco;Quantidade;Custo;Capital
2024-07-25;Compra;Entrada;64579.54;64263.01;64148.01;1.4783;0.00;100000.00
2024-07-25;Venda;Saida;64826.91;65566.25;65838.00;-1.4783;0.00;102498.31
2024-07-27;Compra;Entrada;68099.36;67791.21;68900.00;1.4364;0.00;102498.31
2024-07-27;Venda;Saida;67958.48;68900.00;68860.00;-1.4364;0.00;102440.86
2024-07-28;Compra;Entrada;68205.23;67956.01;67958.00;1.4321;0.00;102440.86
2024-07-29;Venda;Saida;67877.54;68844.00;68714.01;-1.4321;0.00;103523.53
2024-07-29;Compra;Entrada;69056.28;68228.01;67946.01;1.4415;0.00;103523.53
2024-07-29;Venda;Saida;67978.09;66727.33;67015.08;-1.4415;0.00;102181.64
2024-07-29;Compra;Entrada;67754.48;67015.09;67378.00;1.4485;0.00;102181.64
2024-07-30;Venda;Saida;67090.06;66610.01;66720.00;-1.4485;0.00;101228.51
2024-07-30;Compra;Entrada;66958.73;66719.99;66211.33;1.4414;0.00;101228.51
2024-07-31;Venda;Saida;66037.19;66460.00;66364.02;-1.4414;0.00;101448.59
2024-07-31;Compra;Entrada;66285.41;65256.83;64882.01;1.4769;0.00;101448.59
2024-08-01;Venda;Saida;64859.24;64016.00;64110.01;-1.4769;0.00;100308.45
2024-08-01;Compra;Entrada;64736.23;64110.00;64040.01;1.4864;0.00;100308.45
2024-08-01;Venda;Saida;64220.45;62907.44;62905.51;-1.4864;0.00;98622.13
2024-08-01;Compra;Entrada;63935.34;62905.51;62908.00;1.4894;0.00;98622.13
2024-08-01;Venda;Saida;63780.70;64806.00;64889.03;-1.4894;0.00;101572.66
2024-08-02;Compra;Entrada;64599.23;64359.92;64447.99;1.4993;0.00;101572.66
2024-08-02;Venda;Saida;64615.98;62856.00;63416.01;-1.4993;0.00;100025.42
2024-08-02;Compra;Entrada;64296.69;63416.00;63092.01;1.4984;0.00;100025.42
2024-08-02;Venda;Saida;62890.64;61987.02;61993.87;-1.4984;0.00;98379.94
2024-08-02;Compra;Entrada;62714.62;61993.87;61386.01;1.5076;0.00;98379.94
2024-08-03;Venda;Saida;61253.31;60575.99;60592.00;-1.5076;0.00;97182.91
2024-08-03;Compra;Entrada;61152.06;60591.99;60243.97;1.5237;0.00;97182.91
2024-08-04;Venda;Saida;60565.24;59320.00;59086.01;-1.5237;0.00;95418.53
2024-08-04;Compra;Entrada;60269.39;59086.01;58962.80;1.5342;0.00;95418.53
2024-08-04;Venda;Saida;59284.09;57864.43;58371.84;-1.5342;0.00;94511.90
2024-08-04;Compra;Entrada;59045.07;58371.84;58770.60;1.5382;0.00;94511.90
2024-08-05;Venda;Saida;58638.02;57409.99;56174.02;-1.5382;0.00;90517.90
2024-08-05;Compra;Entrada;58333.80;56174.01;54251.88;1.5308;0.00;90517.90
2024-08-05;Venda;Saida;57714.80;54254.81;54432.65;-1.5308;0.00;90794.62
2024-08-05;Compra;Entrada;56900.40;54432.65;54124.00;1.5846;0.00;90794.62
2024-08-05;Venda;Saida;54638.75;53437.05;52718.00;-1.5846;0.00;88566.65
