Data;Operacao;Status;Previsao;Valor Atual;Preco;Quantidade;Custo;Capital
2024-07-25;Compra;Entrada;64579.54;64263.01;64148.01;1.4005;0.00;100000.00
2024-07-25;Venda;Saida;64325.86;64665.99;64790.88;-1.4005;0.00;100900.34
2024-07-25;Compra;Entrada;64776.14;64965.37;64692.01;1.3978;0.00;100900.34
2024-07-25;Venda;Saida;64972.06;65838.01;65832.01;-1.3978;0.00;102493.86
2024-07-27;Compra;Entrada;68099.36;67791.21;68900.00;1.3607;0.00;102493.86
2024-07-27;Venda;Saida;67958.48;68900.00;68860.00;-1.3607;0.00;102439.43
2024-07-28;Compra;Entrada;68205.23;67956.01;67958.00;1.3567;0.00;102439.43
2024-07-28;Venda;Saida;67809.28;67407.99;67422.00;-1.3567;0.00;101712.24
2024-07-28;Compra;Entrada;67686.48;67422.01;67542.00;1.3577;0.00;101712.24
2024-07-28;Venda;Saida;67570.38;67988.47;68259.80;-1.3577;0.00;102686.82
2024-07-29;Compra;Entrada;69056.28;68228.01;67946.01;1.3545;0.00;102686.82
2024-07-29;Venda;Saida;68206.84;66940.01;66727.34;-1.3545;0.00;101036.07
2024-07-29;Compra;Entrada;67978.09;66727.33;67015.08;1.3627;0.00;101036.07
2024-07-30;Venda;Saida;67090.06;66610.01;66720.00;-1.3627;0.00;100633.95
2024-07-30;Compra;Entrada;66958.73;66719.99;66211.33;1.3575;0.00;100633.95
2024-07-30;Venda;Saida;66693.64;66952.00;66811.75;-1.3575;0.00;101449.01
2024-07-30;Compra;Entrada;66561.81;66668.01;66642.01;1.3695;0.00;101449.01
2024-07-30;Venda;Saida;66386.68;66232.00;66216.01;-1.3695;0.00;100865.59
2024-07-30;Compra;Entrada;66246.90;65868.01;65970.01;1.3782;0.00;100865.59
2024-07-31;Venda;Saida;65964.88;66360.74;66459.99;-1.3782;0.00;101540.88
2024-07-31;Compra;Entrada;66158.52;66088.40;66094.01;1.3828;0.00;101540.88
2024-07-31;Venda;Saida;66103.99;64882.01;64595.81;-1.3828;0.00;99469.17
2024-07-31;Compra;Entrada;65857.20;64595.81;64613.99;1.3859;0.00;99469.17
2024-08-01;Venda;Saida;64736.23;64110.00;64040.01;-1.3859;0.00;98673.70
2024-08-01;Compra;Entrada;64619.59;64040.01;63936.01;1.3867;0.00;98673.70
2024-08-01;Venda;Saida;64503.82;64466.01;64494.00;-1.3867;0.00;99447.48
2024-08-01;Compra;Entrada;64618.83;63935.83;62983.99;1.3999;0.00;99447.48
2024-08-01;Venda;Saida;64471.14;62984.00;62906.60;-1.3999;0.00;99339.15
2024-08-01;Compra;Entrada;64220.45;62907.44;62905.51;1.4212;0.00;99339.15
2024-08-01;Venda;Saida;63590.21;64760.01;64806.00;-1.4212;0.00;102040.19
2024-08-02;Compra;Entrada;64807.42;64648.00;63970.02;1.4206;0.00;102040.19
2024-08-02;Venda;Saida;64719.67;63970.02;64359.91;-1.4206;0.00;102594.06
2024-08-02;Compra;Entrada;64599.23;64359.92;64447.99;1.4347;0.00;102594.06
2024-08-02;Venda;Saida;64433.21;64477.22;64472.01;-1.4347;0.00;102628.52
2024-08-02;Compra;Entrada;64396.95;64332.00;64598.01;1.4358;0.00;102628.52
