Data;Operacao;Status;Previsao;Valor Atual;Preco;Quantidade;Custo;Capital
2024-07-25;Compra;Entrada;64579.54;64263.01;64148.01;1.4783;0.00;100000.00
2024-07-25;Venda;Saida;65156.02;65832.01;65644.00;-1.4783;0.00;102211.52
2024-07-27;Compra;Entrada;68099.36;67791.21;68900.00;1.4324;0.00;102211.52
2024-07-27;Venda;Saida;67958.48;68900.00;68860.00;-1.4324;0.00;102154.23
2024-07-28;Compra;Entrada;68205.23;67956.01;67958.00;1.4281;0.00;102154.23
2024-07-29;Venda;Saida;67877.54;68844.00;68714.01;-1.4281;0.00;103233.87
2024-07-29;Compra;Entrada;69056.28;68228.01;67946.01;1.4374;0.00;103233.87
2024-07-29;Venda;Saida;67754.48;67015.09;67378.00;-1.4374;0.00;102417.40
2024-07-29;Compra;Entrada;67594.69;67378.00;67419.99;1.444;0.00;102417.40
2024-07-30;Venda;Saida;67090.06;66610.01;66720.00;-1.444;0.00;101406.59
2024-07-30;Compra;Entrada;66958.73;66719.99;66211.33;1.4439;0.00;101406.59
2024-07-31;Venda;Saida;66037.19;66460.00;66364.02;-1.4439;0.00;101627.06
2024-07-31;Compra;Entrada;66285.41;65256.83;64882.01;1.4795;0.00;101627.06
2024-08-01;Venda;Saida;64371.80;63740.41;64214.00;-1.4795;0.00;100638.75
2024-08-01;Compra;Entrada;64311.06;64214.00;64303.99;1.4889;0.00;100638.75
2024-08-01;Venda;Saida;64220.45;62907.44;62905.51;-1.4889;0.00;98556.59
2024-08-01;Compra;Entrada;63935.34;62905.51;62908.00;1.4884;0.00;98556.59
2024-08-01;Venda;Saida;63780.70;64806.00;64889.03;-1.4884;0.00;101505.16
2024-08-02;Compra;Entrada;64599.23;64359.92;64447.99;1.4983;0.00;101505.16
2024-08-02;Venda;Saida;64615.98;62856.00;63416.01;-1.4983;0.00;99958.95
2024-08-02;Compra;Entrada;64296.69;63416.00;63092.01;1.4974;0.00;99958.95
2024-08-02;Venda;Saida;62890.64;61987.02;61993.87;-1.4974;0.00;98314.56
2024-08-02;Compra;Entrada;62714.62;61993.87;61386.01;1.5066;0.00;98314.56
2024-08-03;Venda;Saida;60956.95;59953.04;60246.00;-1.5066;0.00;96597.05
2024-08-03;Compra;Entrada;60831.87;60246.01;60582.78;1.5232;0.00;96597.05
2024-08-04;Venda;Saida;60565.24;59320.00;59086.01;-1.5232;0.00;94317.15
2024-08-04;Compra;Entrada;60269.39;59086.01;58962.80;1.5165;0.00;94317.15
2024-08-04;Venda;Saida;59045.07;58371.84;58770.60;-1.5165;0.00;94025.69
2024-08-04;Compra;Entrada;58916.38;58770.60;59472.66;1.5199;0.00;94025.69
2024-08-04;Venda;Saida;59016.71;58846.00;58715.83;-1.5199;0.00;92875.40
2024-08-05;Compra;Entrada;58638.02;57409.99;56174.02;1.5369;0.00;92875.40
2024-08-05;Venda;Saida;56900.40;54432.65;54124.00;-1.5369;0.00;89724.79
2024-08-05;Compra;Entrada;56137.82;54124.00;54697.98;1.5749;0.00;89724.79
2024-08-05;Venda;Saida;54638.75;53437.05;52718.00;-1.5749;0.00;86606.57
2024-08-05;Compra;Entrada;54265.69;52717.99;50012.02;1.5607;0.00;86606.57
2024-08-05;Venda;Saida;53632.92;50012.02;51588.00;-1.5607;0.00;89066.17
2024-08-05;Compra;Entrada;52861.23;51588.00;52757.99;1.6402;0.00;89066.17
2024-08-05;Venda;Saida;52364.91;52758.00;52674.19;-1.6402;0.00;88928.73
2024-08-05;Compra;Entrada;52034.34;51384.00;50880.01;1.6441;0.00;88928.73
2024-08-05;Venda;Saida;50540.98;49732.56;51951.00;-1.6441;0.00;90689.51
2024-08-05;Compra;Entrada;50479.02;51951.01;52633.64;1.6584;0.00;90689.51
2024-08-05;Venda;Saida;52246.12;54289.67;54321.09;-1.6584;0.00;93487.96
2024-08-05;Compra;Entrada;53476.13;53290.00;53470.09;1.6666;0.00;93487.96
2024-08-05;Venda;Saida;54511.69;54695.87;54544.00;-1.6666;0.00;95277.73
2024-08-06;Compra;Entrada;54529.74;55625.55;56038.00;1.6272;0.00;95277.73
2024-08-06;Venda;Saida;55599.52;54931.99;55211.99;-1.6272;0.00;93933.65
2024-08-06;Compra;Entrada;55422.56;55211.98;55211.99;1.6163;0.00;93933.65
2024-08-06;Venda;Saida;56266.04;56873.99;56494.00;-1.6163;0.00;96005.71
2024-08-06;Compra;Entrada;56465.26;56200.26;55924.01;1.6229;0.00;96005.71
2024-08-07;Venda;Saida;57095.66;57445.99;57350.01;-1.6229;0.00;98319.92
2024-08-07;Compra;Entrada;57239.16;57122.00;57292.00;1.6352;0.00;98319.92
2024-08-07;Venda;Saida;56980.82;56085.83;56077.38;-1.6352;0.00;96333.81
2024-08-07;Compra;Entrada;56765.48;56077.38;56094.50;1.632;0.00;96333.81
2024-08-07;Venda;Saida;55861.09;54805.01;54962.88;-1.632;0.00;94487.03
2024-08-07;Compra;Entrada;55612.15;54962.89;54759.22;1.6332;0.00;94487.03
2024-08-08;Venda;Saida;55719.68;57620.75;57364.00;-1.6332;0.00;98741.03
2024-08-08;Compra;Entrada;57468.55;57924.63;57809.81;1.6194;0.00;98741.03
2024-08-08;Venda;Saida;58643.07;59601.52;59568.56;-1.6194;0.00;101589.17
2024-08-09;Compra;Entrada;61345.55;60720.01;60858.00;1.5894;0.00;101589.17
2024-08-09;Venda;Saida;60441.01;60050.71;60432.65;-1.5894;0.00;100913.11
2024-08-09;Compra;Entrada;60381.53;60432.65;60422.73;1.5864;0.00;100913.11
2024-08-11;Venda;Saida;59826.89;58504.91;58600.00;-1.5864;0.00;98021.62
2024-08-11;Compra;Entrada;59525.23;58599.99;59009.80;1.5891;0.00;98021.62
2024-08-13;Venda;Saida;59443.92;59798.18;59554.00;-1.5891;0.00;98886.40
2024-08-13;Compra;Entrada;59479.95;59040.00;59118.17;1.5912;0.00;98886.40
2024-08-13;Venda;Saida;59884.84;61274.26;61167.58;-1.5912;0.00;102147.34
2024-08-14;Compra;Entrada;61154.88;59611.93;59492.69;1.6279;0.00;102147.34
2024-08-15;Venda;Saida;58839.04;58300.74;58412.25;-1.6279;0.00;100388.54
2024-08-15;Compra;Entrada;58714.60;58412.75;58441.64;1.6327;0.00;100388.54
2024-08-15;Venda;Saida;58242.46;57046.34;56890.41;-1.6327;0.00;97855.86
2024-08-15;Compra;Entrada;57935.25;56890.42;56671.06;1.6341;0.00;97855.86
2024-08-16;Venda;Saida;57727.07;58107.92;57890.00;-1.6341;0.00;99847.69
2024-08-16;Compra;Entrada;58372.66;57868.80;58547.60;1.6392;0.00;99847.69
2024-08-18;Venda;Saida;59661.39;59623.61;59337.42;-1.6392;0.00;101142.34
2024-08-18;Compra;Entrada;59669.39;59364.00;59456.00;1.6186;0.00;101142.34
2024-08-19;Venda;Saida;59288.08;58432.63;58346.03;-1.6186;0.00;99345.77
2024-08-19;Compra;Entrada;59092.64;58346.03;58448.45;1.6176;0.00;99345.77
2024-08-20;Venda;Saida;59535.07;60482.77;60560.00;-1.6176;0.00;102761.33
2024-08-20;Compra;Entrada;60832.95;60718.62;60693.71;1.6078;0.00;102761.33
2024-08-20;Venda;Saida;60439.92;59055.48;58825.53;-1.6078;0.00;99757.68
2024-08-20;Compra;Entrada;60129.98;58825.53;58968.00;1.611;0.00;99757.68
2024-08-21;Venda;Saida;60002.18;60771.28;61029.95;-1.611;0.00;103079.55
2024-08-22;Compra;Entrada;61091.62;60922.10;60970.00;1.6074;0.00;103079.55
2024-08-23;Venda;Saida;61282.00;60994.91;61413.04;-1.6074;0.00;103791.68
2024-08-24;Compra;Entrada;64204.46;64179.85;64086.99;1.5363;0.00;103791.68
