Data;Operacao;Status;Previsao;Valor Atual;Preco;Quantidade;Custo;Capital
2024-07-25;Compra;Entrada;64579.54;64263.01;64148.01;1.4783;0.00;100000.00
2024-07-25;Venda;Saida;64972.06;65838.01;65832.01;-1.4783;0.00;102489.46
2024-07-27;Compra;Entrada;68099.36;67791.21;68900.00;1.4362;0.00;102489.46
2024-07-27;Venda;Saida;67958.48;68900.00;68860.00;-1.4362;0.00;102432.01
2024-07-28;Compra;Entrada;68205.23;67956.01;67958.00;1.432;0.00;102432.01
2024-07-29;Venda;Saida;67877.54;68844.00;68714.01;-1.432;0.00;103514.58
2024-07-29;Compra;Entrada;69056.28;68228.01;67946.01;1.4413;0.00;103514.58
2024-07-29;Venda;Saida;67754.48;67015.09;67378.00;-1.4413;0.00;102695.90
2024-07-29;Compra;Entrada;67594.69;67378.00;67419.99;1.448;0.00;102695.90
2024-07-30;Venda;Saida;67090.06;66610.01;66720.00;-1.448;0.00;101682.33
2024-07-30;Compra;Entrada;66958.73;66719.99;66211.33;1.4478;0.00;101682.33
2024-07-31;Venda;Saida;66037.19;66460.00;66364.02;-1.4478;0.00;101903.40
2024-07-31;Compra;Entrada;66285.41;65256.83;64882.01;1.4835;0.00;101903.40
2024-08-01;Venda;Saida;64371.80;63740.41;64214.00;-1.4835;0.00;100912.41
2024-08-01;Compra;Entrada;64311.06;64214.00;64303.99;1.4929;0.00;100912.41
2024-08-01;Venda;Saida;64220.45;62907.44;62905.51;-1.4929;0.00;98824.58
2024-08-01;Compra;Entrada;63935.34;62905.51;62908.00;1.4925;0.00;98824.58
2024-08-01;Venda;Saida;63780.70;64806.00;64889.03;-1.4925;0.00;101781.17
2024-08-02;Compra;Entrada;64599.23;64359.92;64447.99;1.5024;0.00;101781.17
2024-08-02;Venda;Saida;64615.98;62856.00;63416.01;-1.5024;0.00;100230.76
2024-08-02;Compra;Entrada;64296.69;63416.00;63092.01;1.5015;0.00;100230.76
2024-08-02;Venda;Saida;62890.64;61987.02;61993.87;-1.5015;0.00;98581.90
2024-08-02;Compra;Entrada;62714.62;61993.87;61386.01;1.5107;0.00;98581.90
2024-08-03;Venda;Saida;60956.95;59953.04;60246.00;-1.5107;0.00;96859.71
2024-08-03;Compra;Entrada;60831.87;60246.01;60582.78;1.5273;0.00;96859.71
