Data;Operacao;Status;Previsao;Valor Atual;Preco;Quantidade;Custo;Capital
2024-07-27;Compra;Entrada;68099.36;67791.21;68900.00;1.4014;0.00;100000.00
2024-07-28;Venda;Saida;67809.28;67407.99;67422.00;-1.4014;0.00;97928.79
2024-07-29;Compra;Entrada;68867.17;67946.01;68104.00;1.3692;0.00;97928.79
2024-07-29;Venda;Saida;67754.48;67015.09;67378.00;-1.3692;0.00;96934.74
2024-07-29;Compra;Entrada;67594.69;67378.00;67419.99;1.3667;0.00;96934.74
2024-07-30;Venda;Saida;66707.30;66418.00;66585.69;-1.3667;0.00;95794.47
2024-07-30;Compra;Entrada;66386.68;66232.00;66216.01;1.374;0.00;95794.47
2024-07-31;Venda;Saida;65857.20;64595.81;64613.99;-1.374;0.00;93593.25
2024-07-31;Compra;Entrada;65601.91;64613.99;64978.00;1.3761;0.00;93593.25
2024-08-01;Venda;Saida;64220.45;62907.44;62905.51;-1.3761;0.00;90741.35
2024-08-01;Compra;Entrada;63935.34;62905.51;62908.00;1.3704;0.00;90741.35
2024-08-02;Venda;Saida;62409.54;61765.08;61498.33;-1.3704;0.00;88809.57
2024-08-03;Compra;Entrada;62286.76;61498.34;61552.47;1.3719;0.00;88809.57
2024-08-03;Venda;Saida;60956.95;59953.04;60246.00;-1.3719;0.00;87017.24
2024-08-03;Compra;Entrada;60831.87;60246.01;60582.78;1.3721;0.00;87017.24
2024-08-04;Venda;Saida;60269.39;59086.01;58962.80;-1.3721;0.00;84794.38
2024-08-04;Compra;Entrada;59986.37;58962.80;58663.90;1.3662;0.00;84794.38
2024-08-05;Venda;Saida;58333.80;56174.01;54251.88;-1.3662;0.00;78766.71
2024-08-05;Compra;Entrada;57714.80;54254.81;54432.65;1.3793;0.00;78766.71
2024-08-05;Venda;Saida;53632.92;50012.02;51588.00;-1.3793;0.00;74843.15
2024-08-05;Compra;Entrada;52861.23;51588.00;52757.99;1.3782;0.00;74843.15
2024-08-05;Venda;Saida;52364.91;52758.00;52674.19;-1.3782;0.00;74727.65
2024-08-05;Compra;Entrada;52034.34;51384.00;50880.01;1.3815;0.00;74727.65
2024-08-05;Venda;Saida;50540.98;49732.56;51951.00;-1.3815;0.00;76207.25
2024-08-05;Compra;Entrada;50479.02;51951.01;52633.64;1.3936;0.00;76207.25
