Date,Open,High,Low,Close
2023-01-01,16500.00,16800.00,16400.00,16750.00
2023-01-02,16750.00,17100.00,16650.00,16900.00
2023-01-03,16900.00,17200.00,16800.00,17050.00
2023-01-04,17050.00,17300.00,16950.00,17100.00
2023-01-05,17100.00,17400.00,17000.00,17250.00
2023-01-06,17250.00,17500.00,17150.00,17350.00
2023-01-07,17350.00,17600.00,17200.00,17400.00
2023-01-08,17400.00,17700.00,17300.00,17550.00
2023-01-09,17550.00,17800.00,17450.00,17650.00
2023-01-10,17650.00,17900.00,17500.00,17750.00
2023-01-11,17750.00,18000.00,17600.00,17850.00
2023-01-12,17850.00,18100.00,17700.00,17950.00
2023-01-13,17950.00,18200.00,17800.00,18050.00
2023-01-14,18050.00,18300.00,17900.00,18150.00
2023-01-15,18150.00,18400.00,18000.00,18250.00
2023-01-16,18250.00,18500.00,18100.00,18350.00
2023-01-17,18350.00,18600.00,18200.00,18450.00
2023-01-18,18450.00,18700.00,18300.00,18550.00
2023-01-19,18550.00,18800.00,18400.00,18650.00
2023-01-20,18650.00,18900.00,18500.00,18750.00
2023-01-21,18750.00,19000.00,18600.00,18850.00
2023-01-22,18850.00,19100.00,18700.00,18950.00
2023-01-23,18950.00,19200.00,18800.00,19050.00
2023-01-24,19050.00,19300.00,18900.00,19150.00
2023-01-25,19150.00,19400.00,19000.00,19250.00
2023-01-26,19250.00,19500.00,19100.00,19350.00
2023-01-27,19350.00,19600.00,19200.00,19450.00
2023-01-28,19450.00,19700.00,19300.00,19550.00
2023-01-29,19550.00,19800.00,19400.00,19650.00
2023-01-30,19650.00,19900.00,19500.00,19750.00
2023-01-31,19750.00,20000.00,19600.00,19850.00
2023-02-01,19850.00,20100.00,19700.00,19950.00
2023-02-02,19950.00,20200.00,19800.00,20050.00
2023-02-03,20050.00,20300.00,19900.00,20150.00
2023-02-04,20150.00,20400.00,20000.00,20250.00
2023-02-05,20250.00,20500.00,20100.00,20350.00
2023-02-06,20350.00,20600.00,20200.00,20450.00
2023-02-07,20450.00,20700.00,20300.00,20550.00
2023-02-08,20550.00,20800.00,20400.00,20650.00
2023-02-09,20650.00,20900.00,20500.00,20750.00
2023-02-10,20750.00,21000.00,20600.00,20850.00
2023-02-11,20850.00,21100.00,20700.00,20950.00
2023-02-12,20950.00,21200.00,20800.00,21050.00
2023-02-13,21050.00,21300.00,20900.00,21150.00
2023-02-14,21150.00,21400.00,21000.00,21250.00
2023-02-15,21250.00,21500.00,21100.00,21350.00
2023-02-16,21350.00,21600.00,21200.00,21450.00
2023-02-17,21450.00,21700.00,21300.00,21550.00
2023-02-18,21550.00,21800.00,21400.00,21650.00
2023-02-19,21650.00,21900.00,21500.00,21750.00
2023-02-20,21750.00,22000.00,21600.00,21850.00
2023-02-21,21850.00,22100.00,21700.00,21950.00
2023-02-22,21950.00,22200.00,21800.00,22050.00
2023-02-23,22050.00,22300.00,21900.00,22150.00
2023-02-24,22150.00,22400.00,22000.00,22250.00
2023-02-25,22250.00,22500.00,22100.00,22350.00
2023-02-26,22350.00,22600.00,22200.00,22450.00
2023-02-27,22450.00,22700.00,22300.00,22550.00
2023-02-28,22550.00,22800.00,22400.00,22650.00
2023-03-01,22650.00,22900.00,22500.00,22750.00
2023-03-02,22750.00,23000.00,22600.00,22850.00
2023-03-03,22850.00,23100.00,22700.00,22950.00
2023-03-04,22950.00,23200.00,22800.00,23050.00
2023-03-05,23050.00,23300.00,22900.00,23150.00
2023-03-06,23150.00,23400.00,23000.00,23250.00
2023-03-07,23250.00,23500.00,23100.00,23350.00
2023-03-08,23350.00,23600.00,23200.00,23450.00
2023-03-09,23450.00,23700.00,23300.00,23550.00
2023-03-10,23550.00,23800.00,23400.00,23650.00
2023-03-11,23650.00,23900.00,23500.00,23750.00
2023-03-12,23750.00,24000.00,23600.00,23850.00
2023-03-13,23850.00,24100.00,23700.00,23950.00
2023-03-14,23950.00,24200.00,23800.00,24050.00
2023-03-15,24050.00,24300.00,23900.00,24150.00
2023-03-16,24150.00,24400.00,24000.00,24250.00
2023-03-17,24250.00,24500.00,24100.00,24350.00
2023-03-18,24350.00,24600.00,24200.00,24450.00
2023-03-19,24450.00,24700.00,24300.00,24550.00
2023-03-20,24550.00,24800.00,24400.00,24650.00
2023-03-21,24650.00,24900.00,24500.00,24750.00
2023-03-22,24750.00,25000.00,24600.00,24850.00
2023-03-23,24850.00,25100.00,24700.00,24950.00
2023-03-24,24950.00,25200.00,24800.00,25050.00
2023-03-25,25050.00,25300.00,24900.00,25150.00
2023-03-26,25150.00,25400.00,25000.00,25250.00
2023-03-27,25250.00,25500.00,25100.00,25350.00
2023-03-28,25350.00,25600.00,25200.00,25450.00
2023-03-29,25450.00,25700.00,25300.00,25550.00
2023-03-30,25550.00,25800.00,25400.00,25650.00
2023-03-31,25650.00,25900.00,25500.00,25750.00
2023-04-01,25750.00,26000.00,25600.00,25850.00
2023-04-02,25850.00,26100.00,25700.00,25950.00
2023-04-03,25950.00,26200.00,25800.00,26050.00
2023-04-04,26050.00,26300.00,25900.00,26150.00
2023-04-05,26150.00,26400.00,26000.00,26250.00
